=> creating model 'resnet50'
Selected optimization level O0:  Pure FP32 training.

Defaults for this optimization level are:
enabled                : True
opt_level              : O0
cast_model_type        : torch.float32
patch_torch_functions  : False
keep_batchnorm_fp32    : None
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O0
cast_model_type        : torch.float32
patch_torch_functions  : False
keep_batchnorm_fp32    : None
master_weights         : False
loss_scale             : 1.0
Epoch: [0][10/5005]	Time 1.582 (1.582)	Speed 161.832 (161.832)	Loss 7.1184535027 (7.1185)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/5005]	Time 0.756 (1.169)	Speed 338.758 (219.029)	Loss 7.0621562004 (7.0903)	Prec@1 0.391 (0.195)	Prec@5 1.562 (0.781)
Epoch: [0][30/5005]	Time 0.686 (1.008)	Speed 373.449 (254.045)	Loss 7.0260105133 (7.0689)	Prec@1 0.000 (0.130)	Prec@5 0.781 (0.781)
Epoch: [0][40/5005]	Time 0.686 (0.927)	Speed 373.359 (276.103)	Loss 7.0712132454 (7.0695)	Prec@1 0.000 (0.098)	Prec@5 0.781 (0.781)
Epoch: [0][50/5005]	Time 0.686 (0.879)	Speed 373.115 (291.248)	Loss 6.9796004295 (7.0515)	Prec@1 0.391 (0.156)	Prec@5 0.781 (0.781)
Epoch: [0][60/5005]	Time 0.686 (0.847)	Speed 373.201 (302.313)	Loss 7.0059967041 (7.0439)	Prec@1 0.781 (0.260)	Prec@5 0.781 (0.781)
Epoch: [0][70/5005]	Time 0.687 (0.824)	Speed 372.736 (310.699)	Loss 7.0629119873 (7.0466)	Prec@1 0.391 (0.279)	Prec@5 0.781 (0.781)
Epoch: [0][80/5005]	Time 0.687 (0.807)	Speed 372.888 (317.314)	Loss 6.9665236473 (7.0366)	Prec@1 0.000 (0.244)	Prec@5 0.000 (0.684)
Epoch: [0][90/5005]	Time 0.687 (0.793)	Speed 372.740 (322.645)	Loss 6.9895029068 (7.0314)	Prec@1 0.000 (0.217)	Prec@5 0.000 (0.608)
Epoch: [0][100/5005]	Time 0.687 (0.783)	Speed 372.775 (327.043)	Loss 6.9938626289 (7.0276)	Prec@1 0.000 (0.195)	Prec@5 0.000 (0.547)
Epoch: [0][110/5005]	Time 0.686 (0.774)	Speed 373.148 (330.758)	Loss 6.9780077934 (7.0231)	Prec@1 0.000 (0.178)	Prec@5 0.000 (0.497)
Epoch: [0][120/5005]	Time 0.687 (0.767)	Speed 372.783 (333.895)	Loss 6.9251837730 (7.0150)	Prec@1 0.000 (0.163)	Prec@5 0.391 (0.488)
Epoch: [0][130/5005]	Time 0.687 (0.761)	Speed 372.597 (336.584)	Loss 6.9656801224 (7.0112)	Prec@1 0.391 (0.180)	Prec@5 1.172 (0.541)
Epoch: [0][140/5005]	Time 0.686 (0.755)	Speed 372.941 (338.944)	Loss 6.9129424095 (7.0041)	Prec@1 0.000 (0.167)	Prec@5 1.172 (0.586)
Epoch: [0][150/5005]	Time 0.686 (0.751)	Speed 373.111 (341.026)	Loss 6.9225192070 (6.9987)	Prec@1 0.781 (0.208)	Prec@5 1.953 (0.677)
Epoch: [0][160/5005]	Time 0.686 (0.747)	Speed 372.951 (342.860)	Loss 6.9499444962 (6.9957)	Prec@1 0.000 (0.195)	Prec@5 0.391 (0.659)
Epoch: [0][170/5005]	Time 0.687 (0.743)	Speed 372.786 (344.487)	Loss 6.9234762192 (6.9914)	Prec@1 0.000 (0.184)	Prec@5 0.781 (0.666)
Epoch: [0][180/5005]	Time 0.687 (0.740)	Speed 372.810 (345.947)	Loss 6.9196848869 (6.9874)	Prec@1 0.000 (0.174)	Prec@5 0.391 (0.651)
Epoch: [0][190/5005]	Time 0.687 (0.737)	Speed 372.823 (347.265)	Loss 6.9212617874 (6.9839)	Prec@1 0.391 (0.185)	Prec@5 0.781 (0.658)
Epoch: [0][200/5005]	Time 0.687 (0.735)	Speed 372.429 (348.442)	Loss 6.9300079346 (6.9812)	Prec@1 0.000 (0.176)	Prec@5 0.391 (0.645)
Epoch: [0][210/5005]	Time 0.687 (0.732)	Speed 372.866 (349.532)	Loss 6.8946099281 (6.9771)	Prec@1 0.000 (0.167)	Prec@5 1.172 (0.670)
Epoch: [0][220/5005]	Time 0.687 (0.730)	Speed 372.694 (350.522)	Loss 6.9253449440 (6.9748)	Prec@1 0.391 (0.178)	Prec@5 0.391 (0.657)
Epoch: [0][230/5005]	Time 0.687 (0.728)	Speed 372.720 (351.432)	Loss 6.9476590157 (6.9736)	Prec@1 0.000 (0.170)	Prec@5 0.391 (0.645)
/opt/conda/lib/python3.6/site-packages/PIL/TiffImagePlugin.py:771: UserWarning: Corrupt EXIF data.  Expecting to read 4 bytes but only got 0.
  warnings.warn(str(msg))
Epoch: [0][240/5005]	Time 0.688 (0.727)	Speed 372.136 (352.249)	Loss 6.9316797256 (6.9718)	Prec@1 0.000 (0.163)	Prec@5 0.000 (0.618)
Epoch: [0][250/5005]	Time 0.689 (0.725)	Speed 371.455 (352.979)	Loss 6.9004092216 (6.9690)	Prec@1 0.000 (0.156)	Prec@5 0.391 (0.609)
Epoch: [0][260/5005]	Time 0.689 (0.724)	Speed 371.405 (353.654)	Loss 6.9005398750 (6.9664)	Prec@1 0.391 (0.165)	Prec@5 0.391 (0.601)
Epoch: [0][270/5005]	Time 0.690 (0.723)	Speed 371.146 (354.272)	Loss 6.9180216789 (6.9646)	Prec@1 0.391 (0.174)	Prec@5 1.953 (0.651)
Epoch: [0][280/5005]	Time 0.689 (0.721)	Speed 371.625 (354.864)	Loss 6.9367985725 (6.9636)	Prec@1 0.781 (0.195)	Prec@5 0.781 (0.656)
Epoch: [0][290/5005]	Time 0.687 (0.720)	Speed 372.704 (355.451)	Loss 6.9580378532 (6.9634)	Prec@1 0.000 (0.189)	Prec@5 0.000 (0.633)
Epoch: [0][300/5005]	Time 0.687 (0.719)	Speed 372.730 (356.001)	Loss 6.9579887390 (6.9632)	Prec@1 0.000 (0.182)	Prec@5 0.781 (0.638)
Epoch: [0][310/5005]	Time 0.687 (0.718)	Speed 372.589 (356.513)	Loss 6.9325323105 (6.9622)	Prec@1 0.000 (0.176)	Prec@5 0.000 (0.617)
Epoch: [0][320/5005]	Time 0.687 (0.717)	Speed 372.615 (356.995)	Loss 6.9049906731 (6.9604)	Prec@1 0.391 (0.183)	Prec@5 1.172 (0.635)
Epoch: [0][330/5005]	Time 0.689 (0.716)	Speed 371.698 (357.423)	Loss 6.9380517006 (6.9597)	Prec@1 0.781 (0.201)	Prec@5 0.781 (0.639)
Epoch: [0][340/5005]	Time 0.689 (0.715)	Speed 371.754 (357.829)	Loss 6.9113287926 (6.9583)	Prec@1 0.000 (0.195)	Prec@5 0.391 (0.632)
Epoch: [0][350/5005]	Time 0.686 (0.715)	Speed 373.301 (358.253)	Loss 6.9212799072 (6.9573)	Prec@1 0.391 (0.201)	Prec@5 0.781 (0.636)
Epoch: [0][360/5005]	Time 0.688 (0.714)	Speed 371.902 (358.619)	Loss 6.9030456543 (6.9558)	Prec@1 0.000 (0.195)	Prec@5 0.000 (0.618)
Epoch: [0][370/5005]	Time 0.688 (0.713)	Speed 372.229 (358.974)	Loss 6.9475488663 (6.9555)	Prec@1 0.391 (0.201)	Prec@5 0.781 (0.623)
Epoch: [0][380/5005]	Time 0.688 (0.712)	Speed 371.842 (359.301)	Loss 6.9231953621 (6.9547)	Prec@1 0.391 (0.206)	Prec@5 0.781 (0.627)
Epoch: [0][390/5005]	Time 0.686 (0.712)	Speed 373.081 (359.641)	Loss 6.8961362839 (6.9532)	Prec@1 0.000 (0.200)	Prec@5 1.172 (0.641)
Epoch: [0][400/5005]	Time 0.686 (0.711)	Speed 373.168 (359.968)	Loss 6.8895726204 (6.9516)	Prec@1 0.391 (0.205)	Prec@5 0.781 (0.645)
