Epoch: [0][570/5005]	Time 0.309 (0.325)	Speed 829.420 (786.555)	Loss 6.8915104866 (6.9448)	Prec@1 0.000 (0.164)	Prec@5 0.000 (0.774)
Epoch: [0][580/5005]	Time 0.308 (0.325)	Speed 830.034 (787.266)	Loss 6.9356007576 (6.9446)	Prec@1 0.000 (0.162)	Prec@5 0.000 (0.761)
/opt/conda/lib/python3.6/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 2555904 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
Epoch: [0][590/5005]	Time 0.308 (0.325)	Speed 829.861 (787.952)	Loss 6.8978090286 (6.9438)	Prec@1 0.000 (0.159)	Prec@5 1.562 (0.775)
Epoch: [0][600/5005]	Time 0.308 (0.325)	Speed 829.869 (788.616)	Loss 6.8746137619 (6.9427)	Prec@1 0.000 (0.156)	Prec@5 0.781 (0.775)
Epoch: [0][610/5005]	Time 0.308 (0.324)	Speed 830.068 (789.262)	Loss 6.8900127411 (6.9418)	Prec@1 0.391 (0.160)	Prec@5 1.172 (0.781)
Epoch: [0][620/5005]	Time 0.308 (0.324)	Speed 829.924 (789.886)	Loss 6.8764042854 (6.9407)	Prec@1 0.781 (0.170)	Prec@5 2.344 (0.806)
Epoch: [0][630/5005]	Time 0.309 (0.324)	Speed 829.695 (790.488)	Loss 6.8596158028 (6.9395)	Prec@1 0.781 (0.180)	Prec@5 1.953 (0.825)
Epoch: [0][640/5005]	Time 0.309 (0.324)	Speed 829.710 (791.073)	Loss 6.9005799294 (6.9389)	Prec@1 0.000 (0.177)	Prec@5 0.000 (0.812)
Epoch: [0][650/5005]	Time 0.309 (0.323)	Speed 829.804 (791.641)	Loss 6.8701171875 (6.9378)	Prec@1 0.781 (0.186)	Prec@5 1.172 (0.817)
Epoch: [0][660/5005]	Time 0.308 (0.323)	Speed 829.902 (792.194)	Loss 6.9032206535 (6.9373)	Prec@1 0.000 (0.183)	Prec@5 0.781 (0.817)
Epoch: [0][670/5005]	Time 0.308 (0.323)	Speed 829.917 (792.732)	Loss 6.8624658585 (6.9362)	Prec@1 0.000 (0.181)	Prec@5 0.781 (0.816)
Epoch: [0][680/5005]	Time 0.308 (0.323)	Speed 830.046 (793.257)	Loss 6.9002528191 (6.9356)	Prec@1 0.000 (0.178)	Prec@5 0.000 (0.804)
Epoch: [0][690/5005]	Time 0.308 (0.323)	Speed 829.882 (793.764)	Loss 6.9026489258 (6.9351)	Prec@1 0.391 (0.181)	Prec@5 1.562 (0.815)
Epoch: [0][700/5005]	Time 0.308 (0.322)	Speed 830.103 (794.261)	Loss 6.9318842888 (6.9351)	Prec@1 0.391 (0.184)	Prec@5 0.781 (0.815)
Epoch: [0][710/5005]	Time 0.309 (0.322)	Speed 829.819 (794.741)	Loss 6.8150773048 (6.9334)	Prec@1 0.000 (0.182)	Prec@5 1.562 (0.825)
Epoch: [0][720/5005]	Time 0.309 (0.322)	Speed 829.727 (795.206)	Loss 6.8508529663 (6.9323)	Prec@1 0.391 (0.184)	Prec@5 1.172 (0.830)
Epoch: [0][730/5005]	Time 0.308 (0.322)	Speed 830.048 (795.664)	Loss 6.8058271408 (6.9305)	Prec@1 0.000 (0.182)	Prec@5 1.172 (0.835)
Epoch: [0][740/5005]	Time 0.309 (0.322)	Speed 829.578 (796.104)	Loss 6.8460612297 (6.9294)	Prec@1 0.000 (0.179)	Prec@5 1.172 (0.839)
Epoch: [0][750/5005]	Time 0.309 (0.321)	Speed 829.627 (796.533)	Loss 6.9469637871 (6.9296)	Prec@1 0.000 (0.177)	Prec@5 0.781 (0.839)
Epoch: [0][760/5005]	Time 0.308 (0.321)	Speed 830.026 (796.956)	Loss 6.9509892464 (6.9299)	Prec@1 0.000 (0.175)	Prec@5 0.000 (0.828)
Epoch: [0][770/5005]	Time 0.309 (0.321)	Speed 829.754 (797.365)	Loss 6.8841757774 (6.9293)	Prec@1 0.781 (0.183)	Prec@5 2.344 (0.847)
Epoch: [0][780/5005]	Time 0.309 (0.321)	Speed 829.718 (797.764)	Loss 6.8847928047 (6.9287)	Prec@1 0.781 (0.190)	Prec@5 0.781 (0.846)
