=> creating model 'resnet50'
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Files already downloaded and verified
Files already downloaded and verified
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
Epoch: [0][10/196]	Time 1.485 (1.485)	Speed 172.423 (172.423)	Loss 4.5713720322 (4.5714)	Prec@1 8.594 (8.594)	Prec@5 51.172 (51.172)
Epoch: [0][20/196]	Time 0.327 (0.906)	Speed 783.703 (282.658)	Loss 2.4180796146 (3.4947)	Prec@1 10.156 (9.375)	Prec@5 53.125 (52.148)
Epoch: [0][30/196]	Time 0.318 (0.710)	Speed 804.901 (360.660)	Loss 2.2895019054 (3.0930)	Prec@1 14.453 (11.068)	Prec@5 60.547 (54.948)
Epoch: [0][40/196]	Time 0.318 (0.612)	Speed 805.822 (418.451)	Loss 2.2456548214 (2.8812)	Prec@1 18.750 (12.988)	Prec@5 64.062 (57.227)
Epoch: [0][50/196]	Time 0.325 (0.554)	Speed 787.533 (461.730)	Loss 2.5522065163 (2.8154)	Prec@1 13.672 (13.125)	Prec@5 64.062 (58.594)
Epoch: [0][60/196]	Time 0.329 (0.517)	Speed 777.981 (495.286)	Loss 2.7093961239 (2.7977)	Prec@1 9.375 (12.500)	Prec@5 67.188 (60.026)
Epoch: [0][70/196]	Time 0.325 (0.489)	Speed 788.217 (523.055)	Loss 2.9034669399 (2.8128)	Prec@1 12.109 (12.444)	Prec@5 60.547 (60.100)
Epoch: [0][80/196]	Time 0.333 (0.470)	Speed 768.912 (544.831)	Loss 2.6632468700 (2.7941)	Prec@1 21.484 (13.574)	Prec@5 57.422 (59.766)
Epoch: [0][90/196]	Time 0.323 (0.453)	Speed 793.794 (564.503)	Loss 2.2241904736 (2.7308)	Prec@1 16.016 (13.845)	Prec@5 74.219 (61.372)
Epoch: [0][100/196]	Time 0.320 (0.440)	Speed 799.729 (581.610)	Loss 2.5935344696 (2.7171)	Prec@1 14.844 (13.945)	Prec@5 72.266 (62.461)
Epoch: [0][110/196]	Time 0.328 (0.430)	Speed 780.691 (595.413)	Loss 2.4161589146 (2.6897)	Prec@1 23.828 (14.844)	Prec@5 76.172 (63.707)
