=> creating model 'resnet50'
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Files already downloaded and verified
Files already downloaded and verified
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
Epoch: [0][10/196]	Time 1.364 (1.364)	Speed 187.695 (187.695)	Loss 4.4304981232 (4.4305)	Prec@1 12.891 (12.891)	Prec@5 51.172 (51.172)
Epoch: [0][20/196]	Time 0.318 (0.841)	Speed 805.505 (304.448)	Loss 2.3685386181 (3.3995)	Prec@1 10.547 (11.719)	Prec@5 51.953 (51.562)
Epoch: [0][30/196]	Time 0.326 (0.669)	Speed 785.856 (382.567)	Loss 2.2786035538 (3.0259)	Prec@1 11.328 (11.589)	Prec@5 64.844 (55.990)
Epoch: [0][40/196]	Time 0.336 (0.586)	Speed 761.115 (436.890)	Loss 2.3542549610 (2.8580)	Prec@1 12.500 (11.816)	Prec@5 59.766 (56.934)
Epoch: [0][50/196]	Time 0.319 (0.533)	Speed 802.105 (480.661)	Loss 2.2663569450 (2.7397)	Prec@1 14.844 (12.422)	Prec@5 64.453 (58.438)
Epoch: [0][60/196]	Time 0.320 (0.497)	Speed 799.508 (514.884)	Loss 2.4222078323 (2.6867)	Prec@1 10.547 (12.109)	Prec@5 66.797 (59.831)
Epoch: [0][70/196]	Time 0.327 (0.473)	Speed 783.010 (541.367)	Loss 2.4807736874 (2.6573)	Prec@1 15.234 (12.556)	Prec@5 67.578 (60.938)
Epoch: [0][80/196]	Time 0.327 (0.455)	Speed 782.337 (563.045)	Loss 2.3219919205 (2.6154)	Prec@1 18.359 (13.281)	Prec@5 66.406 (61.621)
Epoch: [0][90/196]	Time 0.318 (0.440)	Speed 803.962 (582.438)	Loss 3.3624241352 (2.6984)	Prec@1 14.062 (13.368)	Prec@5 66.406 (62.153)
Epoch: [0][100/196]	Time 0.320 (0.428)	Speed 800.802 (598.765)	Loss 2.3877267838 (2.6673)	Prec@1 19.531 (13.984)	Prec@5 74.609 (63.398)
Epoch: [0][110/196]	Time 0.321 (0.418)	Speed 796.757 (612.604)	Loss 2.3035528660 (2.6343)	Prec@1 20.312 (14.560)	Prec@5 69.141 (63.920)
