Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Files already downloaded and verified
Files already downloaded and verified
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 8192.0
Epoch: [0][10/196]	Time 1.565 (1.565)	Speed 163.616 (163.616)	Loss 5.0975308418 (5.0975)	Prec@1 11.719 (11.719)	Prec@5 46.875 (46.875)
Epoch: [0][20/196]	Time 0.319 (0.942)	Speed 802.102 (271.791)	Loss 2.3691868782 (3.7334)	Prec@1 10.156 (10.938)	Prec@5 53.125 (50.000)
Epoch: [0][30/196]	Time 0.319 (0.734)	Speed 801.479 (348.582)	Loss 2.3459556103 (3.2709)	Prec@1 11.719 (11.198)	Prec@5 59.375 (53.125)
Epoch: [0][40/196]	Time 0.320 (0.631)	Speed 798.887 (405.760)	Loss 2.2951052189 (3.0269)	Prec@1 13.672 (11.816)	Prec@5 60.156 (54.883)
Epoch: [0][50/196]	Time 0.322 (0.569)	Speed 793.962 (449.740)	Loss 2.2896752357 (2.8795)	Prec@1 12.500 (11.953)	Prec@5 62.891 (56.484)
Epoch: [0][60/196]	Time 0.317 (0.527)	Speed 807.966 (485.625)	Loss 2.2644929886 (2.7770)	Prec@1 13.281 (12.174)	Prec@5 64.062 (57.747)
Epoch: [0][70/196]	Time 0.320 (0.498)	Speed 798.799 (514.437)	Loss 2.4629459381 (2.7321)	Prec@1 16.406 (12.779)	Prec@5 71.094 (59.654)
Epoch: [0][80/196]	Time 0.326 (0.476)	Speed 784.665 (537.579)	Loss 2.3875436783 (2.6891)	Prec@1 20.703 (13.770)	Prec@5 73.828 (61.426)
Epoch: [0][90/196]	Time 0.318 (0.459)	Speed 804.069 (558.132)	Loss 2.2009038925 (2.6348)	Prec@1 25.000 (15.017)	Prec@5 69.922 (62.370)
Epoch: [0][100/196]	Time 0.319 (0.445)	Speed 801.840 (575.628)	Loss 2.3601326942 (2.6073)	Prec@1 16.797 (15.195)	Prec@5 70.312 (63.164)
Epoch: [0][110/196]	Time 0.324 (0.434)	Speed 790.808 (590.228)	Loss 2.3826928139 (2.5869)	Prec@1 19.531 (15.589)	Prec@5 66.406 (63.459)
Epoch: [0][120/196]	Time 0.324 (0.425)	Speed 791.048 (602.984)	Loss 2.3018128872 (2.5632)	Prec@1 21.094 (16.048)	Prec@5 75.000 (64.421)
Epoch: [0][130/196]	Time 0.332 (0.417)	Speed 772.096 (613.318)	Loss 2.0136549473 (2.5209)	Prec@1 25.781 (16.797)	Prec@5 78.906 (65.535)
Epoch: [0][140/196]	Time 0.318 (0.410)	Speed 805.225 (623.939)	Loss 2.0855119228 (2.4898)	Prec@1 32.422 (17.913)	Prec@5 80.078 (66.574)
Epoch: [0][150/196]	Time 0.321 (0.404)	Speed 798.052 (633.148)	Loss 1.9830212593 (2.4560)	Prec@1 23.438 (18.281)	Prec@5 80.078 (67.474)
Epoch: [0][160/196]	Time 0.328 (0.400)	Speed 780.311 (640.701)	Loss 1.9975663424 (2.4274)	Prec@1 23.047 (18.579)	Prec@5 75.781 (67.993)
Epoch: [0][170/196]	Time 0.324 (0.395)	Speed 790.493 (647.923)	Loss 1.8534191847 (2.3936)	Prec@1 29.297 (19.210)	Prec@5 87.891 (69.164)
Epoch: [0][180/196]	Time 0.321 (0.391)	Speed 798.469 (654.781)	Loss 2.1085636616 (2.3778)	Prec@1 20.703 (19.293)	Prec@5 82.422 (69.900)
Epoch: [0][190/196]	Time 0.316 (0.387)	Speed 809.390 (661.431)	Loss 1.8709118366 (2.3511)	Prec@1 28.125 (19.757)	Prec@5 84.375 (70.662)
Test: [10/40]	Time 0.160 (0.282)	Speed 1597.978 (908.617)	Loss 2.0959 (2.0840)	Prec@1 25.391 (25.234)	Prec@5 81.641 (85.547)
Test: [20/40]	Time 0.155 (0.219)	Speed 1653.745 (1166.629)	Loss 2.0522 (2.0986)	Prec@1 24.609 (25.430)	Prec@5 88.281 (85.859)
Test: [30/40]	Time 0.155 (0.200)	Speed 1654.769 (1280.877)	Loss 2.1753 (2.1036)	Prec@1 26.172 (25.664)	Prec@5 84.375 (85.690)
Test: [40/40]	Time 0.554 (0.198)	Speed 462.356 (1290.002)	Loss 1.8088 (2.1078)	Prec@1 25.000 (25.170)	Prec@5 87.500 (85.700)
 * Prec@1 25.170 Prec@5 85.700
Epoch: [1][10/196]	Time 0.435 (0.435)	Speed 588.229 (588.229)	Loss 2.0497012138 (2.0497)	Prec@1 25.000 (25.000)	Prec@5 85.547 (85.547)
Epoch: [1][20/196]	Time 0.320 (0.378)	Speed 799.190 (677.671)	Loss 2.1434140205 (2.0966)	Prec@1 23.438 (24.219)	Prec@5 81.250 (83.398)
Epoch: [1][30/196]	Time 0.321 (0.359)	Speed 796.581 (713.157)	Loss 1.9210325480 (2.0380)	Prec@1 25.000 (24.479)	Prec@5 83.594 (83.464)
Epoch: [1][40/196]	Time 0.322 (0.350)	Speed 794.822 (731.958)	Loss 2.0849902630 (2.0498)	Prec@1 29.297 (25.684)	Prec@5 86.328 (84.180)
Epoch: [1][50/196]	Time 0.324 (0.345)	Speed 790.708 (742.999)	Loss 1.9645631313 (2.0327)	Prec@1 26.953 (25.938)	Prec@5 83.594 (84.062)
Epoch: [1][60/196]	Time 0.323 (0.341)	Speed 792.562 (750.825)	Loss 1.8233110905 (1.9978)	Prec@1 35.547 (27.539)	Prec@5 82.422 (83.789)
Epoch: [1][70/196]	Time 0.322 (0.338)	Speed 795.532 (756.901)	Loss 1.8672145605 (1.9792)	Prec@1 30.859 (28.013)	Prec@5 83.984 (83.817)
Epoch: [1][80/196]	Time 0.326 (0.337)	Speed 785.440 (760.355)	Loss 1.7906384468 (1.9556)	Prec@1 31.641 (28.467)	Prec@5 85.938 (84.082)
Epoch: [1][90/196]	Time 0.323 (0.335)	Speed 791.986 (763.744)	Loss 1.8464326859 (1.9435)	Prec@1 32.031 (28.863)	Prec@5 84.375 (84.115)
Epoch: [1][100/196]	Time 0.321 (0.334)	Speed 797.167 (766.960)	Loss 1.8348733187 (1.9326)	Prec@1 33.984 (29.375)	Prec@5 86.328 (84.336)
Epoch: [1][110/196]	Time 0.325 (0.333)	Speed 787.789 (768.808)	Loss 1.7042127848 (1.9119)	Prec@1 35.547 (29.936)	Prec@5 90.625 (84.908)
