=> creating model 'resnet50'
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Files already downloaded and verified
Files already downloaded and verified
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 8192.0
Epoch: [0][10/196]	Time 1.492 (1.492)	Speed 171.616 (171.616)	Loss 4.9837303162 (4.9837)	Prec@1 8.984 (8.984)	Prec@5 51.562 (51.562)
Epoch: [0][20/196]	Time 0.329 (0.911)	Speed 777.078 (281.142)	Loss 2.3140528202 (3.6489)	Prec@1 11.328 (10.156)	Prec@5 55.469 (53.516)
Epoch: [0][30/196]	Time 0.323 (0.715)	Speed 793.471 (358.246)	Loss 2.3490147591 (3.2156)	Prec@1 13.672 (11.328)	Prec@5 58.984 (55.339)
Epoch: [0][40/196]	Time 0.330 (0.618)	Speed 776.527 (413.997)	Loss 2.2148973942 (2.9654)	Prec@1 12.891 (11.719)	Prec@5 64.453 (57.617)
Epoch: [0][50/196]	Time 0.324 (0.559)	Speed 790.892 (457.611)	Loss 2.2718739510 (2.8267)	Prec@1 14.062 (12.188)	Prec@5 63.672 (58.828)
Epoch: [0][60/196]	Time 0.321 (0.520)	Speed 798.044 (492.636)	Loss 2.0929088593 (2.7044)	Prec@1 23.438 (14.062)	Prec@5 75.781 (61.654)
Epoch: [0][70/196]	Time 0.328 (0.492)	Speed 780.884 (520.060)	Loss 2.2033495903 (2.6328)	Prec@1 18.359 (14.676)	Prec@5 71.484 (63.058)
Epoch: [0][80/196]	Time 0.322 (0.471)	Speed 794.501 (543.529)	Loss 3.3068861961 (2.7171)	Prec@1 17.188 (14.990)	Prec@5 65.234 (63.330)
Epoch: [0][90/196]	Time 0.321 (0.454)	Speed 796.703 (563.423)	Loss 2.3358662128 (2.6747)	Prec@1 19.141 (15.451)	Prec@5 69.922 (64.062)
Epoch: [0][100/196]	Time 0.322 (0.441)	Speed 795.344 (580.345)	Loss 2.7303543091 (2.6803)	Prec@1 14.453 (15.352)	Prec@5 69.922 (64.648)
Epoch: [0][110/196]	Time 0.320 (0.430)	Speed 799.219 (595.163)	Loss 2.6691963673 (2.6793)	Prec@1 21.875 (15.945)	Prec@5 72.656 (65.376)
Epoch: [0][120/196]	Time 0.321 (0.421)	Speed 797.072 (607.997)	Loss 2.1924226284 (2.6387)	Prec@1 22.266 (16.471)	Prec@5 76.172 (66.276)
Epoch: [0][130/196]	Time 0.319 (0.413)	Speed 801.624 (619.508)	Loss 2.1284813881 (2.5995)	Prec@1 26.172 (17.218)	Prec@5 75.391 (66.977)
Epoch: [0][140/196]	Time 0.320 (0.407)	Speed 800.367 (629.671)	Loss 2.1185660362 (2.5651)	Prec@1 21.094 (17.494)	Prec@5 83.203 (68.136)
Epoch: [0][150/196]	Time 0.323 (0.401)	Speed 791.964 (638.393)	Loss 1.9883029461 (2.5267)	Prec@1 26.562 (18.099)	Prec@5 80.859 (68.984)
