=> creating model 'resnet50'
Selected optimization level O1:  Insert automatic casts around Pytorch functions and Tensor methods.

Defaults for this optimization level are:
enabled                : True
opt_level              : O1
cast_model_type        : None
patch_torch_functions  : True
keep_batchnorm_fp32    : None
master_weights         : None
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O1
cast_model_type        : None
patch_torch_functions  : True
keep_batchnorm_fp32    : None
master_weights         : None
loss_scale             : dynamic
Files already downloaded and verified
Files already downloaded and verified
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 8192.0
Epoch: [0][10/196]	Time 1.031 (1.031)	Speed 248.213 (248.213)	Loss 4.7733540535 (4.7734)	Prec@1 7.422 (7.422)	Prec@5 47.266 (47.266)
Epoch: [0][20/196]	Time 0.318 (0.675)	Speed 804.658 (379.394)	Loss 2.3299603462 (3.5517)	Prec@1 15.234 (11.328)	Prec@5 56.641 (51.953)
Epoch: [0][30/196]	Time 0.318 (0.556)	Speed 804.556 (460.512)	Loss 2.2923319340 (3.1319)	Prec@1 14.453 (12.370)	Prec@5 57.031 (53.646)
Epoch: [0][40/196]	Time 0.318 (0.496)	Speed 804.391 (515.619)	Loss 2.2522547245 (2.9120)	Prec@1 12.500 (12.402)	Prec@5 61.328 (55.566)
Epoch: [0][50/196]	Time 0.321 (0.461)	Speed 797.682 (554.859)	Loss 2.2225508690 (2.7741)	Prec@1 16.797 (13.281)	Prec@5 69.531 (58.359)
Epoch: [0][60/196]	Time 0.317 (0.437)	Speed 806.464 (585.293)	Loss 2.3091752529 (2.6966)	Prec@1 19.141 (14.258)	Prec@5 61.328 (58.854)
Epoch: [0][70/196]	Time 0.316 (0.420)	Speed 809.774 (609.428)	Loss 2.1313292980 (2.6159)	Prec@1 19.141 (14.955)	Prec@5 72.266 (60.770)
Epoch: [0][80/196]	Time 0.318 (0.407)	Speed 803.980 (628.437)	Loss 2.2173900604 (2.5660)	Prec@1 20.312 (15.625)	Prec@5 75.781 (62.646)
Epoch: [0][90/196]	Time 0.317 (0.397)	Speed 807.223 (644.292)	Loss 2.1141257286 (2.5158)	Prec@1 18.359 (15.929)	Prec@5 77.344 (64.280)
Epoch: [0][100/196]	Time 0.316 (0.389)	Speed 809.376 (657.707)	Loss 2.2959718704 (2.4938)	Prec@1 19.141 (16.250)	Prec@5 69.531 (64.805)
Epoch: [0][110/196]	Time 0.317 (0.383)	Speed 808.344 (669.042)	Loss 2.4221456051 (2.4873)	Prec@1 14.453 (16.087)	Prec@5 69.531 (65.234)
Epoch: [0][120/196]	Time 0.317 (0.377)	Speed 808.110 (678.776)	Loss 2.2974941730 (2.4715)	Prec@1 19.922 (16.406)	Prec@5 76.562 (66.178)
Epoch: [0][130/196]	Time 0.318 (0.373)	Speed 804.771 (687.050)	Loss 2.1623892784 (2.4477)	Prec@1 21.875 (16.827)	Prec@5 77.344 (67.037)
Epoch: [0][140/196]	Time 0.315 (0.369)	Speed 811.493 (694.659)	Loss 2.1391780376 (2.4257)	Prec@1 23.828 (17.327)	Prec@5 79.297 (67.913)
Epoch: [0][150/196]	Time 0.316 (0.365)	Speed 809.532 (701.293)	Loss 2.1260657310 (2.4057)	Prec@1 27.734 (18.021)	Prec@5 77.734 (68.568)
Epoch: [0][160/196]	Time 0.317 (0.362)	Speed 808.554 (707.156)	Loss 1.9237456322 (2.3756)	Prec@1 31.641 (18.872)	Prec@5 82.812 (69.458)
Epoch: [0][170/196]	Time 0.318 (0.359)	Speed 805.177 (712.257)	Loss 2.2998356819 (2.3711)	Prec@1 20.703 (18.980)	Prec@5 78.516 (69.991)
Epoch: [0][180/196]	Time 0.317 (0.357)	Speed 807.255 (716.944)	Loss 2.1221671104 (2.3573)	Prec@1 25.781 (19.358)	Prec@5 80.469 (70.573)
Epoch: [0][190/196]	Time 0.316 (0.355)	Speed 811.105 (721.352)	Loss 2.2238445282 (2.3503)	Prec@1 27.734 (19.799)	Prec@5 84.766 (71.320)
Test: [10/40]	Time 0.108 (0.162)	Speed 2365.565 (1581.639)	Loss 2.0744 (2.0785)	Prec@1 21.484 (20.859)	Prec@5 83.594 (82.695)
Test: [20/40]	Time 0.106 (0.135)	Speed 2421.217 (1899.894)	Loss 2.0252 (2.0654)	Prec@1 21.094 (21.465)	Prec@5 82.422 (82.734)
Test: [30/40]	Time 0.106 (0.126)	Speed 2417.445 (2034.562)	Loss 2.0261 (2.0793)	Prec@1 20.703 (20.898)	Prec@5 82.031 (82.643)
Test: [40/40]	Time 0.409 (0.128)	Speed 625.432 (1995.546)	Loss 2.2800 (2.0785)	Prec@1 6.250 (20.950)	Prec@5 87.500 (82.570)
 * Prec@1 20.950 Prec@5 82.570
Epoch: [1][10/196]	Time 0.375 (0.375)	Speed 682.845 (682.845)	Loss 2.0769898891 (2.0770)	Prec@1 23.828 (23.828)	Prec@5 81.641 (81.641)
Epoch: [1][20/196]	Time 0.322 (0.348)	Speed 795.412 (734.842)	Loss 2.0983278751 (2.0877)	Prec@1 25.391 (24.609)	Prec@5 81.250 (81.445)
Epoch: [1][30/196]	Time 0.318 (0.338)	Speed 804.766 (756.760)	Loss 1.8870642185 (2.0208)	Prec@1 33.984 (27.734)	Prec@5 85.547 (82.812)
Epoch: [1][40/196]	Time 0.318 (0.333)	Speed 804.658 (768.192)	Loss 1.9213867188 (1.9959)	Prec@1 32.812 (29.004)	Prec@5 85.938 (83.594)
Epoch: [1][50/196]	Time 0.317 (0.330)	Speed 807.255 (775.699)	Loss 1.8468904495 (1.9661)	Prec@1 30.469 (29.297)	Prec@5 86.719 (84.219)
Epoch: [1][60/196]	Time 0.318 (0.328)	Speed 806.034 (780.595)	Loss 1.7878524065 (1.9364)	Prec@1 35.156 (30.273)	Prec@5 86.328 (84.570)
Epoch: [1][70/196]	Time 0.321 (0.327)	Speed 797.376 (782.949)	Loss 1.8123257160 (1.9187)	Prec@1 30.859 (30.357)	Prec@5 87.109 (84.933)
Epoch: [1][80/196]	Time 0.318 (0.326)	Speed 805.450 (785.693)	Loss 1.8332960606 (1.9080)	Prec@1 31.641 (30.518)	Prec@5 85.938 (85.059)
Epoch: [1][90/196]	Time 0.316 (0.325)	Speed 809.780 (788.298)	Loss 1.7605165243 (1.8916)	Prec@1 33.203 (30.816)	Prec@5 83.984 (84.939)
Epoch: [1][100/196]	Time 0.317 (0.324)	Speed 807.338 (790.162)	Loss 1.8261942863 (1.8851)	Prec@1 34.766 (31.211)	Prec@5 87.109 (85.156)
Epoch: [1][110/196]	Time 0.318 (0.323)	Speed 805.139 (791.500)	Loss 1.8113689423 (1.8784)	Prec@1 33.203 (31.392)	Prec@5 84.766 (85.121)
Epoch: [1][120/196]	Time 0.317 (0.323)	Speed 807.627 (792.819)	Loss 1.7690103054 (1.8693)	Prec@1 34.375 (31.641)	Prec@5 86.719 (85.254)
Epoch: [1][130/196]	Time 0.320 (0.323)	Speed 799.860 (793.357)	Loss 1.7708797455 (1.8617)	Prec@1 35.156 (31.911)	Prec@5 88.672 (85.517)
Epoch: [1][140/196]	Time 0.317 (0.322)	Speed 808.843 (794.443)	Loss 1.8075517416 (1.8578)	Prec@1 33.984 (32.059)	Prec@5 85.938 (85.547)
Epoch: [1][150/196]	Time 0.317 (0.322)	Speed 806.476 (795.234)	Loss 1.7438899279 (1.8502)	Prec@1 37.109 (32.396)	Prec@5 85.547 (85.547)
Epoch: [1][160/196]	Time 0.316 (0.322)	Speed 810.343 (796.162)	Loss 1.7425009012 (1.8435)	Prec@1 32.812 (32.422)	Prec@5 84.766 (85.498)
Epoch: [1][170/196]	Time 0.317 (0.321)	Speed 807.211 (796.803)	Loss 1.7934139967 (1.8406)	Prec@1 32.422 (32.422)	Prec@5 84.375 (85.432)
Epoch: [1][180/196]	Time 0.315 (0.321)	Speed 811.522 (797.607)	Loss 1.7733850479 (1.8368)	Prec@1 35.156 (32.574)	Prec@5 87.891 (85.569)
Epoch: [1][190/196]	Time 0.315 (0.321)	Speed 812.083 (798.356)	Loss 1.6373554468 (1.8263)	Prec@1 39.062 (32.915)	Prec@5 90.234 (85.814)
Test: [10/40]	Time 0.116 (0.161)	Speed 2199.092 (1592.746)	Loss 1.7087 (1.7580)	Prec@1 36.719 (38.477)	Prec@5 88.672 (88.672)
Test: [20/40]	Time 0.106 (0.135)	Speed 2418.811 (1897.182)	Loss 1.6176 (1.7009)	Prec@1 38.672 (39.062)	Prec@5 92.188 (89.395)
Test: [30/40]	Time 0.106 (0.126)	Speed 2416.585 (2033.148)	Loss 1.6686 (1.6981)	Prec@1 37.500 (38.229)	Prec@5 88.281 (89.167)
Test: [40/40]	Time 0.068 (0.120)	Speed 3750.316 (2136.895)	Loss 1.4655 (1.7161)	Prec@1 31.250 (38.340)	Prec@5 100.000 (89.080)
 * Prec@1 38.340 Prec@5 89.080
Epoch: [2][10/196]	Time 0.366 (0.366)	Speed 700.400 (700.400)	Loss 1.6822072268 (1.6822)	Prec@1 36.328 (36.328)	Prec@5 88.281 (88.281)
Epoch: [2][20/196]	Time 0.317 (0.341)	Speed 806.774 (749.833)	Loss 1.7841868401 (1.7332)	Prec@1 36.719 (36.523)	Prec@5 86.328 (87.305)
Epoch: [2][30/196]	Time 0.317 (0.333)	Speed 806.624 (767.853)	Loss 1.7618738413 (1.7428)	Prec@1 35.547 (36.198)	Prec@5 87.500 (87.370)
Epoch: [2][40/196]	Time 0.316 (0.329)	Speed 809.446 (777.845)	Loss 1.6774095297 (1.7264)	Prec@1 35.938 (36.133)	Prec@5 89.844 (87.988)
Epoch: [2][50/196]	Time 0.317 (0.327)	Speed 808.495 (783.788)	Loss 1.6915344000 (1.7194)	Prec@1 37.891 (36.484)	Prec@5 88.672 (88.125)
Epoch: [2][60/196]	Time 0.317 (0.325)	Speed 808.010 (787.724)	Loss 1.6671397686 (1.7107)	Prec@1 33.984 (36.068)	Prec@5 90.625 (88.542)
Epoch: [2][70/196]	Time 0.316 (0.324)	Speed 810.256 (790.866)	Loss 1.6204563379 (1.6978)	Prec@1 39.453 (36.551)	Prec@5 91.797 (89.007)
Epoch: [2][80/196]	Time 0.317 (0.323)	Speed 807.104 (792.860)	Loss 1.7194856405 (1.7005)	Prec@1 41.406 (37.158)	Prec@5 85.938 (88.623)
Epoch: [2][90/196]	Time 0.319 (0.322)	Speed 802.294 (793.897)	Loss 1.5514115095 (1.6840)	Prec@1 39.844 (37.457)	Prec@5 91.406 (88.932)
Epoch: [2][100/196]	Time 0.318 (0.322)	Speed 804.508 (794.945)	Loss 1.6121416092 (1.6768)	Prec@1 39.453 (37.656)	Prec@5 88.672 (88.906)
Epoch: [2][110/196]	Time 0.320 (0.322)	Speed 800.015 (795.404)	Loss 1.6190702915 (1.6715)	Prec@1 44.922 (38.317)	Prec@5 88.672 (88.885)
Epoch: [2][120/196]	Time 0.319 (0.322)	Speed 802.085 (795.956)	Loss 1.6467090845 (1.6695)	Prec@1 35.938 (38.118)	Prec@5 90.234 (88.997)
Epoch: [2][130/196]	Time 0.319 (0.321)	Speed 803.476 (796.530)	Loss 1.6936770678 (1.6713)	Prec@1 42.188 (38.431)	Prec@5 87.891 (88.912)
Epoch: [2][140/196]	Time 0.317 (0.321)	Speed 806.548 (797.237)	Loss 1.6722143888 (1.6714)	Prec@1 38.281 (38.421)	Prec@5 89.453 (88.951)
Epoch: [2][150/196]	Time 0.317 (0.321)	Speed 806.821 (797.869)	Loss 1.7071808577 (1.6738)	Prec@1 39.062 (38.464)	Prec@5 84.375 (88.646)
