=> creating model 'resnet50'
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Files already downloaded and verified
Files already downloaded and verified
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 8192.0
Epoch: [0][10/196]	Time 1.222 (1.222)	Speed 209.483 (209.483)	Loss 4.5713601112 (4.5714)	Prec@1 6.641 (6.641)	Prec@5 51.172 (51.172)
Epoch: [0][20/196]	Time 0.315 (0.769)	Speed 812.684 (333.103)	Loss 2.3250427246 (3.4482)	Prec@1 11.328 (8.984)	Prec@5 57.422 (54.297)
Epoch: [0][30/196]	Time 0.317 (0.618)	Speed 806.845 (414.162)	Loss 2.2611076832 (3.0525)	Prec@1 13.281 (10.417)	Prec@5 64.453 (57.682)
Epoch: [0][40/196]	Time 0.313 (0.542)	Speed 818.773 (472.540)	Loss 2.2720260620 (2.8574)	Prec@1 19.141 (12.598)	Prec@5 60.156 (58.301)
Epoch: [0][50/196]	Time 0.318 (0.497)	Speed 805.407 (515.119)	Loss 2.3512191772 (2.7562)	Prec@1 12.891 (12.656)	Prec@5 57.812 (58.203)
Epoch: [0][60/196]	Time 0.312 (0.466)	Speed 819.865 (549.138)	Loss 2.0772850513 (2.6430)	Prec@1 24.609 (14.648)	Prec@5 76.562 (61.263)
Epoch: [0][70/196]	Time 0.315 (0.445)	Speed 811.804 (575.751)	Loss 2.2975792885 (2.5937)	Prec@1 15.234 (14.732)	Prec@5 66.797 (62.054)
Epoch: [0][80/196]	Time 0.315 (0.428)	Speed 812.208 (597.495)	Loss 3.3857138157 (2.6927)	Prec@1 17.969 (15.137)	Prec@5 64.453 (62.354)
Epoch: [0][90/196]	Time 0.314 (0.416)	Speed 815.176 (615.765)	Loss 2.8419446945 (2.7093)	Prec@1 13.281 (14.931)	Prec@5 61.719 (62.283)
Epoch: [0][100/196]	Time 0.315 (0.406)	Speed 812.502 (631.045)	Loss 2.3067038059 (2.6690)	Prec@1 20.312 (15.469)	Prec@5 69.531 (63.008)
Epoch: [0][110/196]	Time 0.316 (0.398)	Speed 809.996 (643.979)	Loss 2.3753268719 (2.6423)	Prec@1 19.531 (15.838)	Prec@5 68.359 (63.494)
