=> creating model 'resnet50'
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : False
loss_scale             : 1.0
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][10/196]	Time 1.104 (1.104)	Speed 231.840 (231.840)	Loss 3.9744348526 (3.9744)	Prec@1 7.422 (7.422)	Prec@5 48.828 (48.828)
Epoch: [0][20/196]	Time 0.310 (0.707)	Speed 826.254 (362.083)	Loss 2.3214459419 (3.1479)	Prec@1 10.156 (8.789)	Prec@5 50.781 (49.805)
Epoch: [0][30/196]	Time 0.310 (0.575)	Speed 826.269 (445.510)	Loss 2.3114106655 (2.8691)	Prec@1 10.547 (9.375)	Prec@5 56.641 (52.083)
Epoch: [0][40/196]	Time 0.310 (0.508)	Speed 826.463 (503.535)	Loss 2.3428039551 (2.7375)	Prec@1 12.891 (10.254)	Prec@5 58.984 (53.809)
Epoch: [0][50/196]	Time 0.310 (0.469)	Speed 827.028 (546.270)	Loss 2.4276959896 (2.6756)	Prec@1 15.625 (11.328)	Prec@5 60.938 (55.234)
Epoch: [0][60/196]	Time 0.310 (0.442)	Speed 826.723 (579.007)	Loss 2.6229467392 (2.6668)	Prec@1 13.281 (11.654)	Prec@5 64.062 (56.706)
Epoch: [0][70/196]	Time 0.309 (0.423)	Speed 827.247 (604.940)	Loss 3.1121735573 (2.7304)	Prec@1 9.766 (11.384)	Prec@5 62.109 (57.478)
Epoch: [0][80/196]	Time 0.310 (0.409)	Speed 826.967 (625.947)	Loss 2.6207683086 (2.7167)	Prec@1 12.891 (11.572)	Prec@5 65.625 (58.496)
Epoch: [0][90/196]	Time 0.309 (0.398)	Speed 827.487 (643.357)	Loss 2.1822168827 (2.6573)	Prec@1 21.484 (12.674)	Prec@5 75.391 (60.373)
Epoch: [0][100/196]	Time 0.309 (0.389)	Speed 827.261 (657.984)	Loss 2.1491942406 (2.6065)	Prec@1 17.969 (13.203)	Prec@5 76.172 (61.953)
Epoch: [0][110/196]	Time 0.309 (0.382)	Speed 827.157 (670.450)	Loss 2.1729874611 (2.5671)	Prec@1 21.484 (13.956)	Prec@5 76.172 (63.246)
Epoch: [0][120/196]	Time 0.310 (0.376)	Speed 827.051 (681.199)	Loss 2.3578991890 (2.5497)	Prec@1 22.266 (14.648)	Prec@5 75.781 (64.290)
Epoch: [0][130/196]	Time 0.308 (0.371)	Speed 829.907 (690.719)	Loss 2.3183503151 (2.5319)	Prec@1 21.094 (15.144)	Prec@5 75.781 (65.174)
Epoch: [0][140/196]	Time 0.308 (0.366)	Speed 829.864 (699.092)	Loss 2.0238804817 (2.4956)	Prec@1 21.484 (15.597)	Prec@5 79.297 (66.183)
Epoch: [0][150/196]	Time 0.309 (0.362)	Speed 827.173 (706.384)	Loss 1.9705539942 (2.4606)	Prec@1 25.781 (16.276)	Prec@5 81.641 (67.214)
Epoch: [0][160/196]	Time 0.309 (0.359)	Speed 827.229 (712.893)	Loss 2.1652438641 (2.4421)	Prec@1 25.000 (16.821)	Prec@5 76.953 (67.822)
Epoch: [0][170/196]	Time 0.309 (0.356)	Speed 827.439 (718.746)	Loss 2.0378382206 (2.4183)	Prec@1 25.781 (17.348)	Prec@5 85.938 (68.888)
Epoch: [0][180/196]	Time 0.309 (0.354)	Speed 827.571 (724.035)	Loss 2.0990049839 (2.4006)	Prec@1 23.828 (17.708)	Prec@5 79.297 (69.466)
Epoch: [0][190/196]	Time 0.309 (0.351)	Speed 827.689 (728.839)	Loss 2.0451915264 (2.3819)	Prec@1 23.438 (18.010)	Prec@5 83.203 (70.189)
Test: [10/40]	Time 0.109 (0.166)	Speed 2340.434 (1537.727)	Loss 1.9177 (2.0698)	Prec@1 28.125 (28.594)	Prec@5 83.984 (85.664)
